freeway,direction,lane_type,flow,occupancy,region,temperature,windspeed,weathercode,incident_type,severity,speed
280,N,HOV,286,0.069,San Francisco,21.5,18.1,1,congestion,low,22.8
280,W,FR,301,0.096,San Francisco,15.1,3.9,4,accident,medium,57.1
680,S,HOV,401,0.128,San Jose,27.9,6.9,0,roadwork,high,55.1
880,E,HOV,246,0.246,San Francisco,10.7,14.1,5,accident,low,51.7
680,E,ML,216,0.154,San Jose,30.0,17.7,0,accident,medium,39.3
80,E,HOV,468,0.266,San Jose,27.6,16.1,5,congestion,low,53.9
80,W,FR,386,0.097,San Francisco,20.7,8.4,1,accident,none,64.4
80,N,ML,51,0.276,Oakland,13.7,6.2,5,roadwork,medium,70.9
280,S,FR,256,0.133,Fremont,25.8,5.6,1,roadwork,none,11.2
80,S,FR,106,0.228,San Jose,20.5,1.7,0,congestion,low,68.5
280,N,HOV,360,0.066,San Jose,14.9,17.6,1,accident,low,57.0
101,W,OR,19,0.082,Fremont,29.0,12.0,4,congestion,low,51.4
280,E,HOV,498,0.089,San Francisco,11.4,14.1,2,accident,none,41.1
680,E,FR,232,0.191,San Jose,27.3,17.0,4,congestion,high,15.8
80,S,ML,293,0.253,Fremont,22.5,11.7,4,none,none,43.0
80,E,ML,112,0.193,San Francisco,22.6,0.5,4,congestion,high,59.0
80,W,OR,432,0.075,San Francisco,14.0,2.1,1,congestion,high,43.1
80,S,OR,458,0.16,Fremont,21.1,1.4,3,accident,low,27.5
880,S,FR,334,0.289,San Francisco,18.7,7.3,1,roadwork,none,24.0
680,S,HOV,112,0.077,San Jose,23.6,12.2,3,accident,low,11.3
101,S,OR,383,0.158,San Jose,12.3,2.9,4,roadwork,high,38.9
80,E,HOV,42,0.069,San Jose,19.4,9.7,4,accident,none,43.0
80,W,FR,294,0.132,San Francisco,17.5,3.8,2,roadwork,medium,52.8
101,S,HOV,154,0.122,San Francisco,25.3,14.6,5,roadwork,medium,65.3
680,W,ML,411,0.134,San Francisco,26.3,5.4,3,roadwork,none,37.6
80,E,FR,464,0.019,San Francisco,26.1,6.5,3,accident,medium,28.1
680,N,ML,489,0.145,Oakland,23.3,9.6,3,none,high,23.5
80,W,FR,158,0.066,Fremont,14.2,19.8,0,congestion,high,28.5
680,W,HOV,384,0.134,San Jose,18.5,10.3,4,accident,high,25.8
280,E,FR,191,0.16,San Jose,29.4,3.0,5,roadwork,high,68.6
101,W,OR,476,0.134,Oakland,28.4,0.8,5,none,low,45.7
101,E,OR,81,0.178,San Jose,22.6,9.9,0,accident,none,12.0
280,W,ML,109,0.256,Fremont,10.8,0.5,4,none,low,49.3
880,N,OR,43,0.219,Oakland,20.0,12.0,0,accident,medium,24.1
280,W,ML,71,0.268,San Francisco,22.9,0.5,0,congestion,low,70.8
680,S,OR,70,0.01,San Jose,24.0,15.8,3,congestion,low,65.0
680,S,FR,214,0.208,San Francisco,16.4,5.4,0,accident,high,74.5
80,E,HOV,480,0.161,Oakland,14.6,0.5,3,roadwork,none,72.2
80,E,HOV,76,0.279,San Francisco,27.2,0.2,4,accident,medium,38.2
80,E,ML,380,0.264,San Francisco,12.8,11.8,1,accident,none,70.7
280,E,FR,299,0.284,Fremont,26.7,19.5,4,accident,high,67.3
80,W,OR,197,0.174,Fremont,28.7,1.5,3,none,high,73.0
101,S,OR,82,0.077,Oakland,19.3,17.1,0,none,high,28.3
101,W,HOV,41,0.147,San Francisco,22.3,7.1,1,congestion,medium,36.1
280,N,HOV,488,0.212,San Francisco,12.5,17.7,5,congestion,low,28.7
680,N,ML,391,0.134,Fremont,10.1,15.7,1,roadwork,low,23.9
80,S,OR,423,0.164,San Jose,29.3,16.6,4,roadwork,high,64.1
101,N,ML,76,0.238,Fremont,10.3,14.3,0,none,none,39.5
880,E,HOV,460,0.112,San Jose,12.3,8.3,0,congestion,high,68.3
880,W,OR,343,0.036,Oakland,24.4,8.4,0,congestion,medium,59.6
680,S,ML,340,0.218,Oakland,16.4,14.5,4,congestion,high,57.8
680,S,ML,255,0.107,Oakland,24.5,0.6,3,accident,high,39.7
880,E,OR,442,0.098,Fremont,12.5,11.0,1,accident,medium,38.5
680,E,FR,416,0.06,San Jose,14.4,6.6,2,congestion,low,59.3
880,N,HOV,385,0.131,Fremont,12.2,12.2,0,congestion,high,65.1
680,S,ML,183,0.183,San Francisco,26.3,0.8,2,accident,medium,47.0
280,N,ML,234,0.181,San Francisco,17.9,3.6,0,none,none,56.1
680,S,FR,452,0.063,Fremont,13.8,2.7,5,none,medium,66.5
280,E,OR,207,0.137,Oakland,28.6,17.9,4,roadwork,low,14.3
280,W,FR,230,0.263,Fremont,21.5,14.8,0,none,high,45.0
880,W,FR,362,0.274,San Jose,20.1,15.8,1,congestion,high,73.1
680,W,ML,285,0.011,San Francisco,23.8,18.3,2,none,medium,32.0
680,S,HOV,22,0.288,Fremont,16.2,8.0,0,none,high,30.4
880,W,FR,350,0.263,Oakland,19.5,1.7,1,accident,low,46.1
280,N,HOV,217,0.1,Oakland,18.2,13.0,5,congestion,low,58.4
280,N,ML,462,0.08,Oakland,21.9,16.1,4,none,none,54.5
80,S,ML,31,0.113,Oakland,25.8,4.7,5,none,low,15.8
280,W,OR,14,0.231,San Francisco,19.9,13.7,1,congestion,none,16.9
880,S,FR,263,0.086,San Jose,17.9,13.8,4,roadwork,low,37.3
101,W,ML,241,0.066,Fremont,18.9,18.7,3,accident,low,51.3
680,S,ML,40,0.069,Fremont,25.8,11.7,5,congestion,medium,30.5
680,E,FR,101,0.195,San Francisco,19.5,13.4,5,none,high,14.8
101,E,HOV,202,0.284,San Francisco,25.9,17.4,1,congestion,medium,73.3
680,S,ML,435,0.073,San Jose,10.9,16.9,5,none,low,38.3
280,S,HOV,128,0.169,San Jose,18.5,9.8,2,accident,medium,46.8
101,E,FR,485,0.159,Fremont,26.4,2.6,2,congestion,medium,43.7
101,W,FR,200,0.086,Fremont,28.9,18.4,1,accident,medium,31.8
101,S,HOV,390,0.206,San Jose,10.2,11.8,5,none,none,56.4
880,S,OR,101,0.122,Fremont,16.6,19.8,1,none,none,18.6
880,S,HOV,57,0.237,San Jose,10.8,19.6,0,none,medium,23.5
680,N,ML,120,0.3,San Francisco,14.9,0.3,5,accident,none,64.7
101,E,ML,307,0.041,San Francisco,17.6,3.9,1,congestion,none,40.4
280,W,HOV,56,0.282,San Jose,20.1,0.1,4,accident,medium,61.7
80,W,FR,22,0.036,San Jose,28.7,14.4,0,accident,medium,22.5
101,E,OR,258,0.23,Fremont,15.3,3.5,0,congestion,low,37.2
880,N,HOV,158,0.248,Fremont,14.7,11.9,3,none,low,11.9
280,N,ML,465,0.063,Oakland,18.5,17.8,1,none,medium,15.5
80,W,ML,277,0.154,Oakland,20.0,4.8,4,congestion,medium,74.5
680,W,ML,294,0.207,San Jose,23.3,6.6,2,none,low,71.2
280,E,ML,464,0.27,San Jose,24.4,15.3,4,accident,none,40.9
80,S,HOV,331,0.01,San Francisco,11.4,17.6,4,roadwork,medium,54.0
280,N,OR,383,0.176,San Francisco,22.8,15.7,3,accident,medium,23.1
680,E,FR,448,0.208,Oakland,16.8,0.8,1,congestion,high,37.2
80,E,ML,366,0.199,Fremont,23.2,15.9,5,roadwork,medium,11.1
280,N,OR,311,0.3,Oakland,10.1,11.1,0,congestion,medium,41.7
680,S,OR,226,0.153,Fremont,14.8,1.2,1,congestion,low,13.3
280,E,ML,493,0.166,Oakland,22.2,1.5,0,accident,medium,55.3
280,N,ML,400,0.201,Fremont,11.6,16.2,2,none,low,29.3
680,N,OR,77,0.263,Fremont,14.2,19.5,4,accident,none,74.4
80,S,OR,292,0.157,Fremont,15.1,3.0,4,congestion,low,51.4
280,S,OR,258,0.214,San Jose,15.4,14.1,2,none,medium,60.0
880,N,ML,442,0.014,Fremont,26.8,17.5,3,none,none,55.5
680,W,HOV,125,0.239,San Francisco,14.0,16.1,3,none,low,37.2
680,W,OR,427,0.149,San Jose,29.1,9.9,4,congestion,high,21.2
880,E,OR,134,0.174,San Jose,26.5,7.2,3,none,high,15.5
80,N,FR,372,0.151,Oakland,14.0,15.8,5,accident,low,28.5
101,S,OR,85,0.233,Oakland,28.9,5.2,2,congestion,none,40.5
280,E,OR,278,0.114,San Francisco,11.2,18.5,2,none,none,64.6
680,N,OR,222,0.028,San Jose,27.5,4.1,2,roadwork,high,15.0
80,N,OR,476,0.246,San Jose,16.4,11.3,4,congestion,high,33.3
880,E,FR,27,0.044,San Jose,12.6,17.2,4,none,medium,66.1
880,W,OR,329,0.247,San Jose,28.0,1.8,4,congestion,medium,71.8
80,N,FR,394,0.184,San Francisco,24.5,12.4,3,roadwork,medium,23.3
80,E,ML,183,0.073,Oakland,23.0,18.6,0,accident,high,40.9
101,S,OR,102,0.298,Oakland,24.8,11.3,5,none,high,53.8
280,W,FR,83,0.051,Oakland,24.4,11.4,1,accident,medium,26.2
80,E,ML,32,0.126,San Francisco,13.4,6.5,2,congestion,none,24.1
880,N,FR,312,0.185,San Francisco,23.7,5.9,2,roadwork,none,16.1
80,W,HOV,220,0.233,Oakland,13.7,17.7,2,none,none,59.4
280,W,FR,131,0.279,San Jose,24.0,18.0,3,roadwork,medium,54.3
80,W,ML,408,0.112,San Francisco,17.1,15.4,5,accident,low,74.1
80,W,FR,118,0.028,San Francisco,16.9,16.9,0,congestion,high,53.5
280,W,FR,317,0.086,San Francisco,19.1,16.1,2,congestion,medium,60.0
880,S,ML,33,0.286,San Francisco,22.6,1.9,3,none,low,65.5
101,W,HOV,178,0.128,San Jose,20.9,16.6,2,roadwork,high,71.1
680,E,FR,360,0.173,Fremont,28.8,19.4,4,roadwork,low,54.3
680,N,OR,306,0.022,San Jose,21.2,13.4,2,accident,high,12.2
280,W,OR,369,0.25,San Jose,11.2,7.1,0,accident,medium,31.5
280,S,OR,121,0.28,San Francisco,29.3,10.1,1,none,none,74.1
101,S,ML,15,0.209,Oakland,29.8,17.7,3,congestion,high,57.3
880,N,ML,38,0.207,San Francisco,29.6,18.2,4,accident,none,28.8
80,W,ML,427,0.073,San Francisco,26.1,9.3,3,accident,medium,21.8
280,S,OR,195,0.115,San Jose,15.2,14.7,2,roadwork,low,45.0
80,W,HOV,326,0.083,Oakland,28.5,0.8,1,none,medium,10.9
80,S,HOV,275,0.18,San Jose,25.1,2.6,3,congestion,high,63.4
880,E,HOV,342,0.276,San Jose,22.4,8.8,1,none,low,64.3
80,S,HOV,110,0.194,Oakland,20.1,4.5,0,congestion,none,15.0
280,S,HOV,480,0.049,Fremont,25.4,7.6,2,accident,high,28.4
280,W,ML,421,0.023,Fremont,23.0,19.9,0,congestion,high,11.9
101,E,ML,369,0.035,San Francisco,17.3,3.6,1,roadwork,low,72.3
80,E,OR,487,0.182,San Francisco,29.8,12.2,3,accident,high,42.1
880,E,FR,10,0.051,San Jose,25.7,13.4,5,none,low,17.3
680,S,ML,147,0.141,San Jose,14.5,15.0,3,roadwork,high,70.8
880,W,FR,79,0.209,San Francisco,26.7,16.1,5,none,high,45.7
280,E,OR,461,0.203,Oakland,17.6,18.6,1,none,high,21.1
880,S,HOV,479,0.256,San Francisco,25.9,12.9,1,accident,medium,30.5
280,N,FR,72,0.028,San Jose,28.6,6.3,3,congestion,low,18.1
280,E,ML,59,0.218,San Francisco,25.7,1.9,2,congestion,none,63.6
680,N,OR,186,0.192,Fremont,24.2,14.5,3,accident,medium,53.9
101,W,ML,296,0.104,San Jose,14.3,3.6,0,roadwork,medium,54.3
280,W,ML,191,0.279,San Jose,28.9,10.5,3,none,high,49.3
80,N,ML,228,0.153,San Jose,11.2,0.6,1,roadwork,high,41.6
80,E,HOV,452,0.158,San Francisco,24.0,18.9,0,none,high,69.1
101,W,OR,419,0.129,Fremont,16.3,3.6,3,accident,none,41.4
280,E,FR,153,0.184,San Jose,27.2,6.9,5,accident,medium,33.0
101,E,OR,230,0.022,San Francisco,24.9,9.8,4,roadwork,high,30.1
680,S,HOV,40,0.032,Oakland,10.3,1.0,1,congestion,high,19.5
680,W,ML,344,0.279,Fremont,26.1,6.1,2,congestion,medium,33.2
80,N,HOV,95,0.167,San Francisco,23.0,12.8,2,none,high,57.4
880,W,ML,67,0.232,Fremont,17.6,9.4,5,congestion,medium,16.3
80,W,OR,234,0.15,San Jose,25.3,3.7,2,accident,none,21.8
280,S,FR,296,0.097,San Jose,11.2,5.6,0,roadwork,high,16.3
680,E,ML,450,0.013,Oakland,24.8,2.3,3,none,none,50.4
880,E,OR,325,0.04,San Francisco,19.9,15.4,3,none,high,61.9
280,W,ML,233,0.273,San Francisco,26.6,4.7,4,congestion,low,59.1
880,W,ML,314,0.179,Fremont,28.2,8.3,2,accident,none,64.2
880,S,ML,470,0.165,San Francisco,22.1,15.4,1,congestion,low,19.6
101,W,OR,458,0.063,San Jose,22.3,9.1,0,congestion,low,28.2
280,E,OR,320,0.15,Oakland,10.1,0.0,1,none,medium,72.3
880,E,OR,239,0.047,Oakland,10.0,16.5,0,accident,high,28.0
80,S,FR,86,0.184,Fremont,17.3,8.1,0,roadwork,high,13.8
680,N,FR,67,0.238,Fremont,23.1,6.8,5,none,none,57.5
101,E,FR,149,0.058,Fremont,27.8,12.8,0,none,high,72.1
880,S,ML,257,0.245,San Jose,22.8,5.9,4,roadwork,high,34.6
80,S,FR,200,0.031,San Jose,16.9,6.5,1,congestion,high,66.6
101,W,OR,303,0.123,Oakland,28.3,0.6,2,congestion,high,49.1
280,S,ML,336,0.261,Oakland,28.6,11.4,4,none,none,62.7
880,S,ML,371,0.214,Oakland,11.5,18.3,3,roadwork,none,19.1
280,E,OR,50,0.292,Fremont,23.0,7.7,2,congestion,low,34.0
280,E,ML,194,0.078,San Jose,21.7,0.9,0,accident,medium,61.6
880,N,OR,473,0.288,San Jose,24.7,14.7,1,roadwork,low,48.5
880,W,HOV,460,0.149,San Jose,17.3,13.0,4,none,high,56.8
101,N,OR,298,0.208,Fremont,18.6,1.2,2,congestion,none,30.9
80,N,FR,146,0.065,Oakland,23.5,10.6,4,none,low,18.5
680,N,FR,451,0.083,San Francisco,17.6,3.0,1,congestion,high,27.4
680,W,HOV,117,0.091,San Francisco,29.3,8.8,4,roadwork,low,50.5
280,E,FR,24,0.059,San Jose,16.8,0.3,3,roadwork,high,56.1
680,N,OR,24,0.037,San Francisco,10.9,13.5,4,accident,low,18.7
680,W,OR,371,0.285,San Francisco,26.6,18.2,0,none,low,64.1
280,E,HOV,129,0.018,Oakland,12.9,6.2,2,none,none,35.1
80,E,OR,347,0.28,Oakland,18.4,1.8,2,none,low,25.3
101,S,ML,29,0.07,Fremont,25.5,5.5,2,congestion,medium,64.7
680,S,OR,327,0.119,Fremont,29.1,6.3,3,roadwork,low,73.6
101,E,ML,389,0.03,Oakland,29.6,12.6,2,accident,none,23.8
80,N,ML,441,0.181,San Jose,21.9,15.7,2,none,medium,73.2
880,N,ML,279,0.203,San Francisco,17.2,4.2,3,accident,medium,56.4
101,W,FR,232,0.21,Oakland,19.8,15.4,4,congestion,low,50.9
680,W,FR,284,0.17,Oakland,20.2,11.7,3,none,low,63.9
880,E,OR,423,0.256,San Francisco,17.1,16.0,0,roadwork,medium,33.8
80,E,FR,48,0.282,San Francisco,29.3,14.6,1,roadwork,medium,74.5
101,W,ML,133,0.07,San Francisco,23.8,5.3,1,accident,none,20.2
680,E,FR,476,0.24,San Francisco,21.6,2.3,3,accident,low,59.5
101,N,HOV,60,0.283,Oakland,27.3,17.3,2,roadwork,medium,66.0
80,E,OR,215,0.281,Fremont,12.0,10.3,5,roadwork,medium,11.8
280,W,ML,155,0.069,Oakland,10.2,0.6,4,roadwork,none,71.2
880,N,OR,462,0.131,Oakland,28.3,13.7,1,roadwork,none,29.9
80,E,OR,361,0.042,San Francisco,22.0,7.5,0,congestion,high,29.1
880,W,OR,257,0.161,San Jose,21.1,11.4,2,accident,high,36.0
280,S,FR,134,0.127,Oakland,26.5,7.7,3,accident,none,35.0
101,S,HOV,333,0.11,Fremont,22.3,6.1,0,none,low,57.1
101,N,OR,214,0.074,Oakland,27.8,7.6,0,congestion,medium,27.2
280,S,ML,216,0.146,San Francisco,10.1,16.7,3,accident,high,36.2
101,W,FR,266,0.165,Oakland,18.1,4.3,5,roadwork,none,67.3
880,N,ML,125,0.221,Fremont,17.4,19.7,2,none,medium,42.3
101,S,ML,233,0.08,San Francisco,29.3,19.1,0,none,none,66.7
80,S,ML,282,0.015,San Francisco,30.0,10.5,5,congestion,low,30.1
680,W,HOV,99,0.074,San Jose,27.2,15.2,0,roadwork,low,46.3
680,N,FR,373,0.247,San Jose,10.2,10.3,1,congestion,low,36.0
280,N,OR,321,0.033,Oakland,13.7,11.2,2,none,low,31.4
101,S,FR,113,0.032,Fremont,16.8,13.6,5,accident,low,23.8
280,S,OR,140,0.081,Oakland,29.1,3.5,3,none,none,68.9
280,S,HOV,260,0.019,San Francisco,27.5,11.6,5,none,low,11.8
880,S,HOV,219,0.088,Fremont,14.2,0.9,0,accident,high,24.4
80,N,HOV,168,0.231,San Francisco,22.7,13.0,4,roadwork,medium,72.9
880,S,ML,147,0.101,Fremont,23.5,19.4,0,congestion,high,36.4
880,S,ML,59,0.275,San Jose,11.6,13.8,4,roadwork,none,35.5
80,N,FR,30,0.025,Fremont,13.9,6.2,2,roadwork,medium,32.1
101,N,HOV,205,0.193,San Francisco,19.6,6.6,1,congestion,medium,28.1
880,N,HOV,12,0.168,San Jose,18.0,4.0,5,roadwork,none,31.6
80,E,HOV,230,0.212,Oakland,10.1,12.9,1,roadwork,medium,70.3
880,E,HOV,322,0.27,Fremont,18.7,19.7,0,none,none,14.7
680,N,HOV,116,0.077,Fremont,12.7,5.6,4,congestion,none,65.7
880,W,ML,82,0.023,San Francisco,21.7,2.8,4,roadwork,medium,31.7
80,W,ML,85,0.247,Oakland,15.9,3.4,3,roadwork,low,61.4
80,N,ML,193,0.015,Fremont,11.0,12.2,4,accident,medium,52.7
880,N,ML,184,0.279,San Jose,19.7,18.7,2,none,low,43.4
680,S,HOV,457,0.274,Fremont,27.8,8.5,3,accident,none,29.6
80,N,FR,426,0.274,San Francisco,19.9,6.7,0,accident,high,74.9
880,E,HOV,238,0.096,San Jose,22.2,13.3,4,roadwork,low,37.3
101,S,OR,474,0.067,Oakland,16.2,13.4,2,congestion,low,43.4
280,N,FR,64,0.026,Fremont,16.4,19.0,1,roadwork,high,40.1
280,S,HOV,482,0.125,Fremont,19.0,19.9,5,accident,low,21.1
101,N,ML,195,0.125,Fremont,26.9,15.4,2,congestion,none,42.7
680,N,OR,474,0.187,Oakland,29.5,10.2,0,congestion,high,12.0
101,W,FR,312,0.09,Fremont,11.9,17.8,1,congestion,high,48.1
880,W,FR,210,0.25,Fremont,24.6,7.7,4,congestion,low,62.5
280,N,ML,455,0.243,San Francisco,22.2,16.8,5,congestion,none,38.8
880,S,HOV,454,0.278,Oakland,19.6,14.2,2,congestion,medium,34.5
680,W,FR,464,0.175,Oakland,11.0,7.9,3,accident,low,71.3
680,S,FR,449,0.156,Oakland,18.5,4.4,1,none,none,66.6
880,W,ML,219,0.159,Fremont,29.8,9.2,5,none,none,23.9
280,S,OR,417,0.166,Fremont,16.8,15.8,3,roadwork,low,73.2
280,W,FR,276,0.208,San Jose,24.7,12.1,0,none,low,41.7
80,N,OR,169,0.241,San Francisco,15.3,16.8,0,congestion,low,19.8
680,N,FR,387,0.186,San Francisco,16.3,16.2,4,none,none,33.4
680,W,FR,123,0.052,Fremont,25.7,12.0,4,none,low,19.3
880,N,ML,161,0.174,Fremont,11.6,17.9,1,none,low,26.6
280,W,FR,118,0.098,Oakland,20.2,19.9,5,congestion,none,11.9
680,E,FR,478,0.078,Oakland,13.5,7.4,1,none,low,31.9
101,E,OR,99,0.111,San Francisco,21.5,4.7,0,congestion,low,21.9
880,N,OR,17,0.221,Oakland,24.6,16.8,3,accident,low,21.3
280,E,HOV,118,0.121,San Jose,13.4,11.2,2,none,high,38.1
280,N,OR,214,0.283,Oakland,29.6,12.0,2,roadwork,none,69.4
680,E,ML,415,0.016,San Jose,17.0,1.6,1,roadwork,high,62.6
680,N,OR,96,0.059,Fremont,14.3,3.4,0,none,none,20.3
280,E,ML,193,0.165,San Jose,20.2,4.6,1,none,low,23.7
80,W,ML,273,0.051,Fremont,28.0,9.9,2,none,low,71.8
80,E,OR,436,0.052,Oakland,20.9,8.9,3,accident,medium,65.4
880,E,FR,496,0.188,San Francisco,17.6,4.1,0,roadwork,low,19.5
680,W,OR,232,0.061,San Jose,25.0,5.8,5,congestion,low,59.0
880,S,HOV,75,0.142,Fremont,23.9,15.5,1,accident,low,17.6
80,E,OR,111,0.093,Oakland,27.6,1.8,5,accident,low,51.2
680,E,HOV,485,0.294,San Francisco,12.5,1.2,5,roadwork,low,34.4
80,N,HOV,184,0.214,Oakland,28.4,5.8,3,none,medium,47.4
80,S,ML,318,0.119,San Jose,25.2,4.0,3,congestion,high,21.8
680,E,FR,480,0.198,Oakland,26.4,4.9,4,congestion,high,46.6
880,N,ML,387,0.155,San Jose,19.0,3.5,1,accident,none,66.2
101,N,OR,333,0.233,San Jose,28.0,12.5,5,accident,medium,23.2
280,W,FR,48,0.262,San Francisco,18.1,9.4,5,none,none,20.0
880,E,HOV,103,0.162,Fremont,29.6,8.3,3,congestion,high,71.4
101,W,ML,476,0.198,San Francisco,13.8,2.3,2,accident,medium,37.8
80,W,ML,465,0.268,San Jose,25.6,13.3,3,accident,high,24.5
880,E,ML,464,0.028,Oakland,25.2,19.7,1,congestion,medium,62.0
80,S,ML,388,0.058,Fremont,10.3,10.1,5,none,high,30.4
80,N,ML,265,0.135,Oakland,22.0,19.2,5,none,none,10.1
280,N,FR,104,0.018,Oakland,15.0,7.4,1,accident,none,64.6
80,E,HOV,345,0.176,Fremont,29.1,1.9,4,accident,low,23.8
680,S,ML,292,0.261,Oakland,11.5,3.4,4,accident,high,46.7
680,W,ML,400,0.061,Oakland,21.6,18.5,4,congestion,medium,69.4
680,N,OR,314,0.123,Oakland,26.6,5.1,1,congestion,high,54.1
280,E,FR,113,0.126,Fremont,24.5,4.8,2,none,none,44.0
80,N,HOV,345,0.128,San Francisco,16.0,4.8,5,congestion,medium,54.6
880,S,HOV,116,0.199,Fremont,14.4,17.0,5,roadwork,high,25.4
680,W,HOV,152,0.114,San Jose,20.3,19.5,4,accident,none,16.4
101,W,OR,287,0.097,San Francisco,12.7,8.6,3,roadwork,none,53.5
680,N,HOV,365,0.162,San Jose,29.5,11.2,5,roadwork,low,20.9
80,N,ML,240,0.286,San Francisco,14.6,15.9,2,none,high,65.1
280,W,OR,306,0.127,Fremont,10.9,13.0,4,congestion,none,15.5
880,E,HOV,76,0.04,Oakland,14.2,13.1,2,none,low,51.1
880,W,FR,470,0.037,Oakland,19.5,6.4,5,none,none,41.5
880,E,OR,106,0.141,San Francisco,22.7,5.1,5,accident,medium,35.6
280,S,HOV,200,0.101,San Jose,28.3,9.2,4,accident,none,40.3
80,W,HOV,155,0.28,Fremont,10.8,16.8,3,congestion,none,70.5
680,W,OR,318,0.221,Fremont,29.6,4.4,1,none,none,29.0
280,E,OR,337,0.087,Oakland,24.4,2.1,2,accident,none,12.3
680,W,FR,210,0.19,San Francisco,15.2,7.3,0,none,high,54.4
280,S,FR,403,0.277,Fremont,19.0,0.2,3,accident,none,49.3
880,S,OR,144,0.247,San Francisco,22.0,15.0,0,none,low,50.6
280,W,ML,216,0.289,San Jose,21.5,15.9,5,roadwork,low,39.9
680,E,FR,41,0.237,Oakland,23.4,5.9,5,none,medium,74.0
101,N,OR,87,0.235,San Francisco,22.8,11.0,1,congestion,none,46.2
280,N,OR,32,0.132,San Jose,11.7,12.6,3,accident,medium,43.4
280,N,FR,403,0.084,Oakland,11.9,3.6,0,roadwork,none,63.6
280,E,HOV,318,0.129,Oakland,24.2,13.6,4,accident,none,18.1
80,N,ML,337,0.029,Oakland,28.8,4.3,3,roadwork,none,38.1
101,S,HOV,459,0.215,San Jose,25.1,2.7,5,accident,low,45.7
680,E,FR,192,0.249,Fremont,17.7,3.4,5,roadwork,low,66.4
101,W,ML,211,0.031,Oakland,16.3,19.5,2,accident,medium,27.3
80,S,HOV,219,0.154,San Jose,17.6,9.2,0,roadwork,high,17.7
680,W,HOV,212,0.089,Oakland,15.6,12.0,1,congestion,low,10.9
101,W,OR,336,0.035,San Francisco,28.8,1.2,3,accident,none,23.1
880,S,OR,480,0.2,Fremont,28.1,15.2,3,congestion,none,66.7
80,W,FR,322,0.055,Fremont,16.8,8.2,1,accident,none,56.7
80,S,HOV,458,0.081,San Jose,15.8,10.1,4,accident,medium,28.8
101,N,HOV,145,0.109,San Jose,24.1,11.2,4,accident,high,49.7
80,E,FR,398,0.072,San Jose,19.9,15.3,0,roadwork,low,40.6
880,W,HOV,112,0.113,Fremont,23.5,2.4,4,none,none,15.0
680,S,ML,324,0.048,Oakland,24.0,12.1,2,none,high,36.2
101,E,HOV,111,0.296,Fremont,16.0,8.0,2,accident,none,45.3
101,S,FR,197,0.079,San Francisco,29.1,1.6,5,congestion,high,43.9
680,N,HOV,103,0.011,Oakland,10.6,14.7,1,roadwork,low,18.7
80,N,FR,56,0.061,San Francisco,22.3,5.5,5,none,medium,45.1
