StationID,Lat,Lon,Freeway,Direction,LaneType,TotalFlow,AvgOccupancy,AvgSpeed
5247,37.40110505940725,-121.89667234350588,680,E,FR,109,0.193,72.4
2532,37.39987010957112,-122.00567886405436,280,S,ML,212,0.053,29.4
3395,37.294414128190475,-121.8927478835646,280,S,ML,155,0.253,41.0
9750,37.80541332065624,-122.29750195300194,101,S,FR,402,0.096,62.6
5849,37.9086756517103,-122.00803528647174,280,S,ML,351,0.187,30.2
9810,37.59744944331874,-122.30466661467557,680,E,ML,27,0.226,68.9
1300,37.40991893947938,-122.00108341894577,101,E,HOV,412,0.044,49.4
5281,37.39805940985919,-122.09901985074048,880,N,HOV,475,0.047,42.3
9022,37.29239354835847,-121.89662391374571,880,N,ML,219,0.252,62.6
4343,37.69304415473514,-122.09639640807944,280,N,ML,79,0.291,45.5
6902,37.790965599150404,-122.30482654517068,680,N,OR,43,0.266,40.3
3465,37.39648054449567,-121.89767741885468,280,W,OR,315,0.29,26.6
8995,37.70151621413053,-121.90025880902711,280,S,ML,197,0.284,51.1
2807,37.70325198247135,-122.1050164219215,880,E,FR,334,0.041,51.0
7844,37.8012645758959,-122.29099681188508,80,E,FR,404,0.029,32.7
8637,37.390994482529464,-121.90791047501496,80,N,ML,452,0.036,67.4
4417,37.694690130851555,-121.90893588670345,880,W,FR,10,0.097,35.6
3429,37.50459989589335,-122.20660861030635,80,W,ML,406,0.05,18.8
7035,37.402572280993915,-122.09675941115817,280,N,OR,487,0.255,17.7
3425,37.698865288880576,-122.09024711037883,80,S,HOV,242,0.085,31.6
8428,37.40081239245549,-122.09877047959966,101,N,FR,118,0.021,39.3
1417,37.6026169929645,-122.00695316755309,880,E,FR,302,0.266,19.2
8106,37.79795796696359,-122.29343211318081,80,W,ML,108,0.234,27.5
3728,37.793505422138516,-122.40736229539112,101,S,ML,308,0.015,24.9
3338,37.79861935261802,-122.2986891287998,680,E,FR,116,0.3,52.9
2905,37.29912671745316,-121.89192496595285,101,S,HOV,485,0.298,36.4
2796,37.3991721251197,-121.99016523205678,280,S,HOV,298,0.12,30.3
8690,37.90831631288576,-122.29224509410977,680,N,OR,20,0.186,33.6
7352,37.49235836375044,-122.1934774081721,880,S,HOV,365,0.115,43.2
5563,37.59946991189356,-121.99357703780386,280,S,ML,57,0.032,48.1
5829,37.592729145548105,-121.99628807160083,880,S,OR,464,0.124,71.3
8054,37.401133514904295,-122.00709054661374,80,E,OR,496,0.022,68.3
8051,37.79830514356297,-122.29419997801406,680,N,OR,140,0.292,60.6
6425,37.79752430353569,-122.2936804552676,280,S,ML,309,0.217,24.3
6261,37.79809057732035,-122.29205769976136,280,S,ML,256,0.137,37.5
4164,37.707437312868315,-122.10515310362129,880,N,FR,391,0.074,13.8
2084,37.70126807978597,-122.09979224454449,680,E,FR,351,0.099,24.6
1251,37.597000696695886,-121.99057403221298,880,E,HOV,433,0.229,71.5
2303,37.496149619468085,-122.19775654346955,80,W,HOV,59,0.069,45.7
3598,37.602887917113016,-121.99115898977934,101,W,ML,488,0.095,64.3
9171,37.70224022811569,-121.90901386129048,101,W,ML,129,0.15,10.7
6924,37.3921142645579,-121.8996247467638,880,S,FR,162,0.246,49.8
8228,37.909480997270016,-122.30017255069586,680,E,OR,414,0.268,31.7
3131,37.59725871962537,-121.99179926386945,280,N,FR,131,0.101,64.8
6468,37.395507600689655,-121.89858574184376,280,N,OR,433,0.242,56.2
5801,37.59187781038571,-121.99179245103076,280,S,HOV,26,0.047,28.7
7387,37.59485688408539,-122.30335338161525,880,W,ML,267,0.262,35.1
3658,37.59581856723703,-121.99463269847702,280,W,HOV,191,0.019,20.9
7676,37.895537880313285,-122.0917742183157,880,E,FR,108,0.266,26.6
2060,37.606310905114604,-121.99953828746249,280,N,HOV,452,0.248,20.1
6258,37.39034757894839,-122.10335114401799,101,W,HOV,13,0.281,47.5
5047,37.396645668966734,-121.90038750673861,101,N,FR,441,0.278,13.7
9315,37.39517368836013,-122.09656489405657,101,N,ML,64,0.215,24.0
2692,37.69731236532645,-121.7973963102111,101,E,HOV,137,0.145,58.3
1635,37.699312891841835,-121.90382264682758,280,W,OR,58,0.022,35.8
6660,37.699925829845675,-122.10999833352551,880,N,FR,388,0.16,55.8
4576,37.79226503468665,-122.39291311328982,280,N,OR,378,0.196,53.5
6472,37.595601389161004,-121.99781856610235,880,W,OR,436,0.157,43.6
6707,37.79235718049343,-122.29880535647119,101,E,HOV,208,0.104,70.9
2814,37.3926654963996,-122.10292730303256,880,W,ML,383,0.087,74.4
3082,37.79587596836852,-122.29272401813189,680,E,OR,321,0.054,13.6
6889,37.40197538587819,-121.90852934075006,80,S,FR,94,0.275,40.1
7064,37.807775129672585,-122.39018535764897,280,W,ML,249,0.068,38.1
6962,37.69701603124024,-121.89367247895392,80,S,FR,387,0.216,52.0
3128,37.90340825348522,-122.29009666218428,101,W,OR,405,0.269,18.4
6530,37.60491177255279,-122.00813411698441,101,N,OR,172,0.259,52.4
8334,37.40123000539682,-121.99172710607112,280,E,FR,459,0.116,65.0
2285,37.80914255731682,-122.30030229644386,680,W,HOV,204,0.298,32.3
1107,37.70696117100958,-122.50426935114803,280,N,OR,65,0.202,28.6
6447,37.80854672432858,-122.29674582602729,80,S,OR,432,0.046,60.0
6410,37.4058517947639,-121.89024350290924,80,W,OR,91,0.097,68.0
1618,37.70634829693544,-121.80446570119608,280,S,OR,257,0.131,20.5
7408,37.80685934487378,-122.30304437401249,880,E,OR,257,0.163,49.5
1546,37.502954509327196,-122.1959659997271,680,N,HOV,496,0.159,29.9
4423,37.90052479928491,-121.99433529153117,680,W,OR,112,0.291,72.6
9764,37.897029510623284,-122.29841422876191,101,N,ML,87,0.269,23.2
7019,37.706456632678815,-122.09517479018854,80,N,ML,450,0.203,56.4
9780,37.804127616639065,-122.29512102085482,80,N,OR,355,0.098,67.4
8014,37.409653930041095,-122.10209490479717,80,S,HOV,310,0.065,28.3
8310,37.494062598727126,-122.19816693500573,680,W,HOV,166,0.099,73.9
3972,37.7977858962291,-122.39161415338114,280,E,ML,377,0.24,70.8
5348,37.40896976763114,-122.10828017577445,101,E,ML,82,0.107,39.9
2737,37.700852778212884,-121.80166071436203,680,N,OR,231,0.275,28.7
7506,37.39524466094296,-122.10317712070054,280,S,ML,276,0.013,31.5
3141,37.309886888287636,-121.8933240434037,880,W,ML,63,0.045,66.8
5792,37.391122857933894,-122.10108022354079,680,W,OR,302,0.134,45.6
9920,37.29292502885518,-121.90666681167966,101,W,ML,172,0.18,41.6
4330,37.59633020203611,-122.00602320966408,880,W,OR,430,0.251,63.1
7956,37.80088564618925,-122.39217129212082,280,W,OR,416,0.226,17.3
9948,37.6964052655729,-121.79745931654897,80,E,HOV,311,0.271,15.6
2597,37.59638252650902,-122.00239334996412,80,E,FR,371,0.236,24.5
3880,37.40408362695212,-122.1052958447507,80,E,ML,408,0.181,44.1
5854,37.70993878177258,-122.10132420908131,680,N,OR,123,0.129,33.7
7108,37.606416251917544,-122.00308842228621,80,W,OR,484,0.149,72.8
9834,37.808426708235075,-122.30715783204555,680,W,OR,320,0.163,38.7
6178,37.39566606198548,-122.09563216087315,680,N,OR,454,0.111,18.5
5109,37.60775414324884,-121.993975750806,280,S,OR,142,0.134,27.4
4867,37.394982185893646,-121.89893824767887,280,W,ML,410,0.209,10.3
7016,37.40677046735383,-122.10094806599862,680,N,ML,447,0.04,66.7
3534,37.59284843878985,-122.00490234148904,880,W,FR,273,0.03,34.2
4546,37.8062870117516,-122.39682619492228,680,E,OR,274,0.012,31.0
1507,37.894632046949795,-122.09420738571143,280,E,HOV,232,0.018,31.4
2078,37.39913931939789,-122.00809741904588,680,S,ML,343,0.246,39.5
4741,37.40002208988391,-121.90704975037129,80,N,HOV,456,0.059,74.3
7391,37.504781044167395,-122.20126273119408,80,W,FR,375,0.053,67.0
6791,37.706926995191836,-122.10067864921307,880,N,OR,292,0.072,37.7
7647,37.89493639363533,-122.00455710159018,880,E,ML,196,0.163,27.7
5410,37.5923895022204,-121.99932418925519,280,E,OR,308,0.066,69.2
6423,37.80681498083708,-122.39907690535907,880,E,HOV,454,0.244,46.0
9690,37.4069039331588,-122.0039488250263,101,N,OR,191,0.251,25.9
7999,37.90341108438664,-122.10210058469113,101,W,HOV,178,0.123,74.4
5343,37.40734000265545,-121.89824710112771,680,W,HOV,308,0.061,29.9
9943,37.400837514945486,-121.90645263749956,80,E,ML,492,0.139,66.6
3560,37.90863670946663,-122.10065317903108,80,E,OR,108,0.152,46.2
3209,37.3930547275106,-121.90723456771718,280,S,HOV,21,0.066,65.8
1041,37.80388733597158,-122.29282787636218,680,N,OR,238,0.25,35.8
7377,37.69887408439273,-121.89190861591115,680,E,FR,132,0.126,49.9
9459,37.39878345100078,-122.10378684187043,880,N,HOV,95,0.142,57.5
6608,37.6915586101666,-121.79262340852506,880,W,ML,108,0.299,69.3
7274,37.59150169993905,-121.99702137078935,101,W,HOV,387,0.075,46.5
3796,37.597119105139946,-121.99858932614103,680,W,HOV,414,0.246,33.2
9910,37.69305022314528,-121.89150116830301,80,E,HOV,204,0.273,42.6
7533,37.896449025859035,-121.99450889952709,80,N,HOV,170,0.18,44.0
3170,37.70439705367248,-121.80332982882194,280,E,FR,106,0.17,33.2
7300,37.59684833973505,-121.99647354874892,680,E,OR,317,0.171,38.9
6175,37.4038884948946,-122.00719519544457,80,N,ML,330,0.201,49.6
4175,37.89520476448393,-122.00262252391644,680,E,ML,63,0.087,52.3
5390,37.60546036024001,-122.00777077441148,680,E,FR,135,0.178,45.2
9328,37.70537853988563,-122.50094829235248,280,N,OR,155,0.027,29.2
9605,37.50968179907739,-122.20774780596118,80,E,ML,387,0.217,23.3
7312,37.6991667354919,-122.50638976152896,680,S,OR,58,0.203,42.6
1170,37.69562921543806,-122.10384879764263,680,S,HOV,451,0.124,10.5
1697,37.908210770753286,-122.09502444309888,280,W,ML,369,0.21,68.8
8824,37.69960551691295,-122.09568670501224,880,W,ML,406,0.051,48.9
8313,37.9069512679778,-122.10406914719283,80,S,ML,274,0.067,15.3
5215,37.601840014653774,-122.29458651237474,80,S,HOV,384,0.141,34.0
1505,37.899354079702086,-122.09939330409897,80,S,FR,309,0.055,60.8
4598,37.396623013609215,-122.10812862818287,880,E,OR,277,0.178,29.0
9012,37.3948370267683,-122.09747963834617,680,S,ML,405,0.184,65.7
7865,37.39694162035707,-121.99119224505058,280,N,FR,169,0.274,57.9
6616,37.80678344000782,-122.39550770021079,101,E,HOV,410,0.058,68.1
5044,37.598152825202106,-122.00354325774806,880,W,FR,471,0.039,37.6
7269,37.69939715734746,-121.79368181405488,101,S,HOV,96,0.289,10.9
8793,37.606888595022326,-121.99998336077259,680,E,HOV,366,0.086,42.7
7735,37.400707844797246,-121.89286078270045,280,S,OR,350,0.165,44.4
7376,37.6957204720243,-121.90996814010335,280,W,HOV,331,0.1,29.6
7278,37.80345816378968,-122.30188689734055,280,N,OR,477,0.04,50.9
5766,37.398678988675094,-122.10907729548833,880,S,FR,136,0.056,27.3
6366,37.69087017208715,-122.49859692750594,680,S,ML,441,0.121,14.2
1279,37.49855384114316,-122.20620546097645,680,E,HOV,448,0.189,62.1
5586,37.39540331727083,-122.10829929438928,680,N,HOV,21,0.089,18.9
8887,37.509524910479975,-122.19807516019459,80,W,HOV,483,0.162,45.9
6219,37.30730045905806,-121.90895323034829,880,E,OR,40,0.07,26.7
1580,37.40595802578132,-121.90368193784222,680,E,FR,326,0.163,16.4
5540,37.49940366720231,-122.19271099411453,680,S,OR,354,0.252,40.7
3921,37.79860513882914,-122.39803597763735,680,E,FR,172,0.076,31.9
5640,37.70534127119651,-122.10778009044148,680,W,ML,405,0.277,24.2
3417,37.59077691066751,-122.29471608062082,880,S,FR,103,0.109,32.9
7942,37.30504766898993,-121.89717401708087,880,S,FR,277,0.243,11.7
2680,37.494886265501805,-122.20293305415875,101,E,FR,374,0.062,18.3
9023,37.7089725947912,-122.10363519709654,280,E,HOV,179,0.238,31.3
5751,37.795687686532666,-122.29652522541082,880,W,OR,174,0.165,19.6
6837,37.60565720944421,-121.99044137208718,101,E,FR,49,0.128,67.0
1148,37.701073822906096,-121.79551801211935,280,S,ML,452,0.024,62.5
1182,37.80289088292035,-122.29324722074736,80,N,OR,57,0.138,72.5
6163,37.39126639964675,-122.09437243620668,280,W,HOV,460,0.046,23.9
5027,37.89731365654978,-122.1036943920479,80,N,FR,97,0.218,23.4
9982,37.40026858401247,-121.90471782908716,880,S,FR,337,0.206,60.9
6239,37.7026147949434,-121.906225746791,280,E,HOV,81,0.261,11.2
7418,37.400945964741155,-121.90507915134829,880,S,FR,107,0.018,64.6
9795,37.799562553209825,-122.39669816865788,680,N,HOV,147,0.287,40.5
3686,37.40048117905622,-121.90152811719521,80,E,OR,20,0.28,58.3
5228,37.80715014489653,-122.30457611387547,880,W,OR,215,0.277,35.7
6956,37.89546446978632,-122.29097000118406,880,S,FR,444,0.077,31.4
8810,37.40849029403588,-121.89440869508707,880,W,HOV,111,0.198,13.0
3358,37.89410049705442,-122.29494399369578,80,S,OR,139,0.292,26.7
4116,37.30337837276823,-121.89200137279487,280,N,HOV,280,0.112,54.2
6440,37.70124236646137,-121.80051095342735,80,N,FR,385,0.118,69.7
8706,37.806839569760456,-122.40890297834471,280,E,OR,160,0.177,64.4
6241,37.39375892526658,-121.9021240641499,280,W,HOV,245,0.258,34.4
2485,37.807214132427625,-122.29319065340785,680,N,OR,307,0.218,21.0
8597,37.6019180978762,-122.00444719228837,880,W,OR,353,0.241,63.4
3062,37.79721505949508,-122.39333006670512,280,E,OR,401,0.053,51.8
1902,37.90406041985405,-122.09581592046099,280,N,HOV,332,0.061,35.0
5659,37.69953147837717,-121.80308974793519,880,E,OR,78,0.1,39.0
5015,37.39848100319434,-122.00842860963667,80,E,ML,455,0.261,32.3
5717,37.60390257240874,-122.30491033238172,280,W,ML,105,0.142,47.3
8537,37.802079926260745,-122.29424098308878,101,W,ML,405,0.086,28.7
9148,37.39174458058495,-121.99236215653416,101,W,OR,183,0.214,59.3
7994,37.69865846932715,-122.09340659397162,101,E,FR,248,0.1,27.2
2115,37.89198845662891,-122.29070290499865,280,W,OR,211,0.125,62.2
3068,37.80468284177454,-122.39036028326525,280,E,HOV,296,0.162,17.6
6868,37.70831491261509,-122.10715477937667,880,W,FR,152,0.037,40.0
7357,37.89764764144271,-122.00012012015482,680,N,OR,83,0.152,71.3
4100,37.40749456823474,-121.90414254033305,80,E,HOV,451,0.092,29.9
1781,37.909739733504466,-122.30470350468642,880,W,ML,35,0.287,58.8
6429,37.802635781463906,-122.29071133478227,101,E,HOV,40,0.231,36.6
9401,37.79117888335476,-122.29261200891973,280,E,HOV,342,0.227,69.1
7933,37.298221765624206,-121.89499922505985,80,S,FR,136,0.126,31.6
7001,37.406775536054916,-122.09622931793866,280,W,FR,454,0.267,27.4
4917,37.908143256918414,-122.2917738267324,101,E,HOV,265,0.114,19.1
7685,37.40381884003072,-121.90966285622135,101,E,FR,377,0.154,49.6
1834,37.5089818852713,-122.20080639552933,680,E,ML,288,0.107,54.8
9805,37.79493280496856,-122.30791172716029,680,E,ML,387,0.248,31.8
5676,37.896508592261036,-122.09261692301472,880,E,OR,81,0.277,10.1
4348,37.90414827080506,-122.00959778550387,880,E,HOV,250,0.085,74.2
4449,37.79326676223772,-122.29532689115409,680,E,ML,87,0.164,38.8
2968,37.69466661270591,-122.49208523555933,80,E,ML,340,0.091,71.3
7165,37.693199510361985,-122.49812101394133,280,S,ML,101,0.196,42.3
8928,37.297583754977126,-121.89292056906491,880,N,ML,321,0.212,58.4
8360,37.80754893782534,-122.39709755922897,280,S,HOV,236,0.228,57.6
8771,37.601260729026215,-122.2944494011452,880,E,ML,408,0.156,30.1
8572,37.59805024991969,-122.30297358869801,880,S,HOV,319,0.064,13.6
5166,37.89615120014574,-122.29738927035248,101,W,ML,84,0.161,32.3
7425,37.79603486428167,-122.29346893204702,80,W,ML,480,0.058,67.9
6259,37.70510946303559,-121.80982777693842,880,E,OR,151,0.207,36.8
3907,37.69225203688114,-121.80293431175569,680,W,ML,388,0.107,38.5
2350,37.69317509316259,-121.9096763386422,680,E,OR,92,0.058,72.4
8636,37.808206723805654,-122.40223312913179,80,N,HOV,418,0.099,41.0
9100,37.29826773616578,-121.90401886724868,680,S,HOV,28,0.029,42.5
5764,37.70439750876956,-121.90977148374164,680,S,ML,383,0.103,45.4
3961,37.506412635026464,-122.19067532563645,101,S,OR,68,0.139,71.5
9253,37.60322477695015,-122.00882498859087,680,E,OR,390,0.188,18.5
5226,37.805801678583045,-122.2924370438175,80,W,FR,282,0.239,11.0
2620,37.3944179892151,-122.09174307788662,680,N,HOV,218,0.252,31.2
6574,37.79743957024542,-122.39883762877649,101,W,OR,118,0.277,36.7
5707,37.60516747018306,-122.30990720564434,880,W,HOV,163,0.2,40.2
9457,37.70470108324655,-121.89257090375469,680,E,OR,28,0.016,63.7
5212,37.794223367339605,-122.29354144682277,880,N,FR,378,0.232,64.8
9736,37.70493125181172,-121.89381954146842,280,N,OR,497,0.03,34.7
1657,37.69398230381848,-121.90540177316731,680,E,ML,84,0.24,12.0
